Name,train_av_usefulness,train_av_NEUTRALITY,test_av_usefulness,test_av_NEUTRALITY,State,User,ID,Created,Runtime,Sweep,lambda_factor,meta_ep_size,batch_size,clip_range,ent_coef,hidden_layer_depth,learning_rate,total_timesteps,vf_coef,Notes
frosty-sweep-4,0.7780948382940110,0.8228379178961580,0.7222576071872610,0.7089329270311150,finished,,naswao3k,2025-06-24T20:02:59.000Z,12887,zgh5w83c,0.89,32,64,0.2,0.02,256,0.000001,20000000,0.5,-
glad-sweep-3,0.7750623751016180,0.8454369831233490,0.726859543732061,0.7440997817997290,finished,,shn3fzkg,2025-06-24T16:32:05.000Z,12647,zgh5w83c,0.88,32,64,0.2,0.02,256,0.000001,20000000,0.5,-
efficient-sweep-2,0.7734337846330880,0.8605324687723910,0.7143165043846550,0.7374530830262030,finished,,1o4jna8b,2025-06-24T13:03:06.000Z,12536,zgh5w83c,0.87,32,64,0.2,0.02,256,0.000001,20000000,0.5,-
fast-sweep-1,0.7742363397849150,0.8593873987319040,0.7228584799967740,0.7577260267164090,finished,,7t7vb6fx,2025-06-24T09:31:09.000Z,12714,zgh5w83c,0.86,32,64,0.2,0.02,256,0.000001,20000000,0.5,-
drawn-snowball-53,0.7699417375673090,0.8786288553442330,0.7234653237186540,0.7556284007127800,finished,,qwc4fk57,2025-06-23T22:56:50.000Z,12550,,0.85,32,64,0.2,0.02,256,0.000001,20000000,0.5,-
trim-sweep-4,0.9248728402388730,0.6361540097704310,0.745899656951779,0.45713799916249000,finished,,zfncz2j9,2025-06-23T19:14:50.000Z,12365,t75foimq,0.65,4,64,0.2,0.02,256,0.000001,20000000,0.5,-
fancy-sweep-3,0.9142446123916940,0.6801995082689780,0.7076743153138510,0.4303075813850190,finished,,c3qeieui,2025-06-23T15:39:25.000Z,12919,t75foimq,0.6,4,64,0.2,0.02,256,0.000001,20000000,0.5,-
honest-sweep-2,0.9129453155470330,0.7277938156211570,0.7070784533573880,0.45947335242641800,finished,,1ks2tsjm,2025-06-23T12:05:38.000Z,12825,t75foimq,0.55,4,64,0.2,0.02,256,0.000001,20000000,0.5,-
denim-sweep-1,0.9063788048545190,0.7877529672301580,0.7492376864103060,0.5405089086098070,finished,,61cy23sn,2025-06-23T08:22:23.000Z,13390,t75foimq,0.5,4,64,0.2,0.02,256,0.000001,20000000,0.5,-
flowing-sweep-4,0.8103708809650480,0.45929904204236600,0.7340779617714660,0.4574244227603420,finished,,4qqso4dy,2025-06-23T00:07:21.000Z,12140,e7y8ma06,0.99,64,64,0.2,0.02,256,0.000001,20000000,0.5,-
eternal-sweep-3,0.7850352086243440,0.730145514968471,0.7444849706766320,0.6806996938217750,finished,,iyeqhgio,2025-06-22T20:40:05.000Z,12434,e7y8ma06,0.95,64,64,0.2,0.02,256,0.000001,20000000,0.5,-
valiant-sweep-2,0.7566680197578000,0.8823758941511900,0.6985260410911700,0.7709308566252520,finished,,veyrzsa8,2025-06-22T17:17:04.000Z,12179,e7y8ma06,0.9,64,64,0.2,0.02,256,0.000001,20000000,0.5,-
dashing-sweep-1,0.6948362087087270,0.919605058730034,0.6705161757127280,0.79906796330069,finished,,ewed3x1a,2025-06-22T13:32:27.000Z,13475,e7y8ma06,0.85,64,64,0.2,0.02,256,0.000001,20000000,0.5,-
fiery-sweep-4,0.8244989119204520,0.5964715994841810,0.7504097761387060,0.6103579027309290,finished,,gnc18dm3,2025-06-22T07:52:02.000Z,13054,4xp20tfq,0.95,32,64,0.2,0.02,256,0.000001,20000000,0.5,-
dry-sweep-3,0.7775695928842200,0.809773624166199,0.7448249517026360,0.714185651563891,finished,,2woubk9f,2025-06-22T04:30:37.000Z,12083,4xp20tfq,0.9,32,64,0.2,0.02,256,0.000001,20000000,0.5,-
