"custom_step","likely-oath-197 - _step","likely-oath-197 - _step__MIN","likely-oath-197 - _step__MAX","likely-oath-197 - train_metrics/Neutrality","likely-oath-197 - train_metrics/Neutrality__MIN","likely-oath-197 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.422870655506627","0.422870655506627","0.422870655506627"
"2000000","1","1","1","0.4580906262338587","0.4580906262338587","0.4580906262338587"
"3000000","2","2","2","0.5502548382533142","0.5502548382533142","0.5502548382533142"
"4000000","3","3","3","0.5643124089891581","0.5643124089891581","0.5643124089891581"
"5000000","4","4","4","0.590564456395943","0.590564456395943","0.590564456395943"
"6000000","5","5","5","0.6210479389272853","0.6210479389272853","0.6210479389272853"
"7000000","6","6","6","0.6663831820577737","0.6663831820577737","0.6663831820577737"
"8000000","7","7","7","0.6910104925597064","0.6910104925597064","0.6910104925597064"
"9000000","8","8","8","0.6518619143700686","0.6518619143700686","0.6518619143700686"
"10000000","9","9","9","0.6960238504445176","0.6960238504445176","0.6960238504445176"
"11000000","10","10","10","0.6742185590575993","0.6742185590575993","0.6742185590575993"
"12000000","11","11","11","0.6907802218817993","0.6907802218817993","0.6907802218817993"
"13000000","12","12","12","0.7195191534137825","0.7195191534137825","0.7195191534137825"
"14000000","13","13","13","0.7112705371527709","0.7112705371527709","0.7112705371527709"
"15000000","14","14","14","0.6879492668801515","0.6879492668801515","0.6879492668801515"
"16000000","15","15","15","0.6984358684372518","0.6984358684372518","0.6984358684372518"
"17000000","16","16","16","0.6791749886560324","0.6791749886560324","0.6791749886560324"
"18000000","17","17","17","0.6975501768127181","0.6975501768127181","0.6975501768127181"
"19000000","18","18","18","0.7020096473305798","0.7020096473305798","0.7020096473305798"
"20000000","19","19","19","0.6821962514209098","0.6821962514209098","0.6821962514209098"
"21000000","20","20","20","0.6894227079018352","0.6894227079018352","0.6894227079018352"
"22000000","21","21","21","0.7132630662515232","0.7132630662515232","0.7132630662515232"
"23000000","22","22","22","0.728708716793479","0.728708716793479","0.728708716793479"
"24000000","23","23","23","0.7517590130098732","0.7517590130098732","0.7517590130098732"
"25000000","24","24","24","0.716061235998725","0.716061235998725","0.716061235998725"
"26000000","25","25","25","0.7469841841633096","0.7469841841633096","0.7469841841633096"
"27000000","26","26","26","0.7153779521828392","0.7153779521828392","0.7153779521828392"
"28000000","27","27","27","0.725811649632307","0.725811649632307","0.725811649632307"
"29000000","28","28","28","0.7286789881087272","0.7286789881087272","0.7286789881087272"
"30000000","29","29","29","0.7258552620746775","0.7258552620746775","0.7258552620746775"
"31000000","30","30","30","0.745774351082612","0.745774351082612","0.745774351082612"
"32000000","31","31","31","0.7464033092792325","0.7464033092792325","0.7464033092792325"
"33000000","32","32","32","0.7531706964728706","0.7531706964728706","0.7531706964728706"
"34000000","33","33","33","0.7655850153865839","0.7655850153865839","0.7655850153865839"
"35000000","34","34","34","0.7650321127084055","0.7650321127084055","0.7650321127084055"
"36000000","35","35","35","0.7620867115128174","0.7620867115128174","0.7620867115128174"
"37000000","36","36","36","0.772007360910035","0.772007360910035","0.772007360910035"
"38000000","37","37","37","0.761816838677894","0.761816838677894","0.761816838677894"
"39000000","38","38","38","0.766086638950439","0.766086638950439","0.766086638950439"
"40000000","39","39","39","0.7680534954582015","0.7680534954582015","0.7680534954582015"
"41000000","40","40","40","0.7651074801058968","0.7651074801058968","0.7651074801058968"
"42000000","41","41","41","0.7939531017743973","0.7939531017743973","0.7939531017743973"
"43000000","42","42","42","0.785197368344971","0.785197368344971","0.785197368344971"
"44000000","43","43","43","0.7505008531460938","0.7505008531460938","0.7505008531460938"
"45000000","44","44","44","0.7816603353866604","0.7816603353866604","0.7816603353866604"
"46000000","45","45","45","0.7862370153045111","0.7862370153045111","0.7862370153045111"
"47000000","46","46","46","0.7723812376585663","0.7723812376585663","0.7723812376585663"
"48000000","47","47","47","0.7863762410950916","0.7863762410950916","0.7863762410950916"
"49000000","48","48","48","0.8107426052503914","0.8107426052503914","0.8107426052503914"
"50000000","49","49","49","0.8218598857228243","0.8218598857228243","0.8218598857228243"
"51000000","50","50","50","0.799609266563466","0.799609266563466","0.799609266563466"
"52000000","51","51","51","0.800002919419606","0.800002919419606","0.800002919419606"
"53000000","52","52","52","0.7830701452378281","0.7830701452378281","0.7830701452378281"
"54000000","53","53","53","0.793589078880007","0.793589078880007","0.793589078880007"
"55000000","54","54","54","0.7978673332558169","0.7978673332558169","0.7978673332558169"
"56000000","55","55","55","0.8058430977019825","0.8058430977019825","0.8058430977019825"
"57000000","56","56","56","0.8103992191648673","0.8103992191648673","0.8103992191648673"
"58000000","57","57","57","0.8041641279187414","0.8041641279187414","0.8041641279187414"
"59000000","58","58","58","0.8072222458430346","0.8072222458430346","0.8072222458430346"
"60000000","59","59","59","0.8031016230043042","0.8031016230043042","0.8031016230043042"
"61000000","60","60","60","0.8059520691841202","0.8059520691841202","0.8059520691841202"
"62000000","61","61","61","0.7556943463152711","0.7556943463152711","0.7556943463152711"
"63000000","62","62","62","0.78922726853055","0.78922726853055","0.78922726853055"
