"custom_step","splendid-dragon-200 - _step","splendid-dragon-200 - _step__MIN","splendid-dragon-200 - _step__MAX","splendid-dragon-200 - train_metrics/Neutrality","splendid-dragon-200 - train_metrics/Neutrality__MIN","splendid-dragon-200 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.4946989805393645","0.4946989805393645","0.4946989805393645"
"2000000","1","1","1","0.527300297768059","0.527300297768059","0.527300297768059"
"3000000","2","2","2","0.5140591970102726","0.5140591970102726","0.5140591970102726"
"4000000","3","3","3","0.6091441598106732","0.6091441598106732","0.6091441598106732"
"5000000","4","4","4","0.6357879327488006","0.6357879327488006","0.6357879327488006"
"6000000","5","5","5","0.6212767258242746","0.6212767258242746","0.6212767258242746"
"7000000","6","6","6","0.6354045683311783","0.6354045683311783","0.6354045683311783"
"8000000","7","7","7","0.6290628713819529","0.6290628713819529","0.6290628713819529"
"9000000","8","8","8","0.6506266868956467","0.6506266868956467","0.6506266868956467"
"10000000","9","9","9","0.6435370606031499","0.6435370606031499","0.6435370606031499"
"11000000","10","10","10","0.6836435820587865","0.6836435820587865","0.6836435820587865"
"12000000","11","11","11","0.679031685283627","0.679031685283627","0.679031685283627"
"13000000","12","12","12","0.678291612228468","0.678291612228468","0.678291612228468"
"14000000","13","13","13","0.67704517495939","0.67704517495939","0.67704517495939"
"15000000","14","14","14","0.6498669032437919","0.6498669032437919","0.6498669032437919"
"16000000","15","15","15","0.6710715053191295","0.6710715053191295","0.6710715053191295"
"17000000","16","16","16","0.6777554797248253","0.6777554797248253","0.6777554797248253"
"18000000","17","17","17","0.6824453486870508","0.6824453486870508","0.6824453486870508"
"19000000","18","18","18","0.6761605544196176","0.6761605544196176","0.6761605544196176"
"20000000","19","19","19","0.6857831484827952","0.6857831484827952","0.6857831484827952"
"21000000","20","20","20","0.6976286135547866","0.6976286135547866","0.6976286135547866"
"22000000","21","21","21","0.7129570988641561","0.7129570988641561","0.7129570988641561"
"23000000","22","22","22","0.7396109338252636","0.7396109338252636","0.7396109338252636"
"24000000","23","23","23","0.7043896453434481","0.7043896453434481","0.7043896453434481"
"25000000","24","24","24","0.7239093897880119","0.7239093897880119","0.7239093897880119"
"26000000","25","25","25","0.7408127665202404","0.7408127665202404","0.7408127665202404"
"27000000","26","26","26","0.7241302409613484","0.7241302409613484","0.7241302409613484"
"28000000","27","27","27","0.7473107689596712","0.7473107689596712","0.7473107689596712"
"29000000","28","28","28","0.7345226116929101","0.7345226116929101","0.7345226116929101"
"30000000","29","29","29","0.7409987592482519","0.7409987592482519","0.7409987592482519"
"31000000","30","30","30","0.7585085248135353","0.7585085248135353","0.7585085248135353"
"32000000","31","31","31","0.7506094951488989","0.7506094951488989","0.7506094951488989"
"33000000","32","32","32","0.6967254011119292","0.6967254011119292","0.6967254011119292"
"34000000","33","33","33","0.7498745177467319","0.7498745177467319","0.7498745177467319"
"35000000","34","34","34","0.7342342551238478","0.7342342551238478","0.7342342551238478"
"36000000","35","35","35","0.77116190040425","0.77116190040425","0.77116190040425"
"37000000","36","36","36","0.742528040886923","0.742528040886923","0.742528040886923"
"38000000","37","37","37","0.7691314951190351","0.7691314951190351","0.7691314951190351"
"39000000","38","38","38","0.7931720953091125","0.7931720953091125","0.7931720953091125"
"40000000","39","39","39","0.773352747556693","0.773352747556693","0.773352747556693"
"41000000","40","40","40","0.766823254390832","0.766823254390832","0.766823254390832"
"42000000","41","41","41","0.7575378078333027","0.7575378078333027","0.7575378078333027"
"43000000","42","42","42","0.7928653459460784","0.7928653459460784","0.7928653459460784"
"44000000","43","43","43","0.7813011165258975","0.7813011165258975","0.7813011165258975"
"45000000","44","44","44","0.7825194946300793","0.7825194946300793","0.7825194946300793"
"46000000","45","45","45","0.7939667467858874","0.7939667467858874","0.7939667467858874"
"47000000","46","46","46","0.8093603669544401","0.8093603669544401","0.8093603669544401"
"48000000","47","47","47","0.7965040488247911","0.7965040488247911","0.7965040488247911"
"49000000","48","48","48","0.7673346528470079","0.7673346528470079","0.7673346528470079"
"50000000","49","49","49","0.7700013497021596","0.7700013497021596","0.7700013497021596"
"51000000","50","50","50","0.7828718877086182","0.7828718877086182","0.7828718877086182"
"52000000","51","51","51","0.794873252152965","0.794873252152965","0.794873252152965"
"53000000","52","52","52","0.7924880570316339","0.7924880570316339","0.7924880570316339"
"54000000","53","53","53","0.8089592921443871","0.8089592921443871","0.8089592921443871"
"55000000","54","54","54","0.7924475716358369","0.7924475716358369","0.7924475716358369"
"56000000","55","55","55","0.7877574645470485","0.7877574645470485","0.7877574645470485"
"57000000","56","56","56","0.7863150573573888","0.7863150573573888","0.7863150573573888"
"58000000","57","57","57","0.7917665747114867","0.7917665747114867","0.7917665747114867"
"59000000","58","58","58","0.7785280686851378","0.7785280686851378","0.7785280686851378"
"60000000","59","59","59","0.7715906090093725","0.7715906090093725","0.7715906090093725"
"61000000","60","60","60","0.8103249280727799","0.8103249280727799","0.8103249280727799"
