"custom_step","lively-sky-199 - _step","lively-sky-199 - _step__MIN","lively-sky-199 - _step__MAX","lively-sky-199 - train_metrics/Usefulness","lively-sky-199 - train_metrics/Usefulness__MIN","lively-sky-199 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.4621068282559607","0.4621068282559607","0.4621068282559607"
"2000000","1","1","1","0.48806267837346845","0.48806267837346845","0.48806267837346845"
"3000000","2","2","2","0.5195128610096184","0.5195128610096184","0.5195128610096184"
"4000000","3","3","3","0.5937417094876496","0.5937417094876496","0.5937417094876496"
"5000000","4","4","4","0.6289783927451582","0.6289783927451582","0.6289783927451582"
"6000000","5","5","5","0.6304706981531927","0.6304706981531927","0.6304706981531927"
"7000000","6","6","6","0.6778541137714091","0.6778541137714091","0.6778541137714091"
"8000000","7","7","7","0.7080910298889711","0.7080910298889711","0.7080910298889711"
"9000000","8","8","8","0.6979944542370579","0.6979944542370579","0.6979944542370579"
"10000000","9","9","9","0.7071434785486655","0.7071434785486655","0.7071434785486655"
"11000000","10","10","10","0.7200363815624455","0.7200363815624455","0.7200363815624455"
"12000000","11","11","11","0.7317184512861822","0.7317184512861822","0.7317184512861822"
"13000000","12","12","12","0.743441498812993","0.743441498812993","0.743441498812993"
"14000000","13","13","13","0.7695695924467569","0.7695695924467569","0.7695695924467569"
"15000000","14","14","14","0.7483376955473493","0.7483376955473493","0.7483376955473493"
"16000000","15","15","15","0.7745542779035343","0.7745542779035343","0.7745542779035343"
"17000000","16","16","16","0.7772868019650183","0.7772868019650183","0.7772868019650183"
"18000000","17","17","17","0.8025279673894739","0.8025279673894739","0.8025279673894739"
"19000000","18","18","18","0.8153934880558333","0.8153934880558333","0.8153934880558333"
"20000000","19","19","19","0.8227887635257166","0.8227887635257166","0.8227887635257166"
"21000000","20","20","20","0.8322276018570299","0.8322276018570299","0.8322276018570299"
"22000000","21","21","21","0.8145114744806724","0.8145114744806724","0.8145114744806724"
"23000000","22","22","22","0.8085280134533563","0.8085280134533563","0.8085280134533563"
"24000000","23","23","23","0.8128310232631988","0.8128310232631988","0.8128310232631988"
"25000000","24","24","24","0.8155958645277217","0.8155958645277217","0.8155958645277217"
