"custom_step","lively-sky-199 - _step","lively-sky-199 - _step__MIN","lively-sky-199 - _step__MAX","lively-sky-199 - train_metrics/Weighted_Average73","lively-sky-199 - train_metrics/Weighted_Average73__MIN","lively-sky-199 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.4789557241490307","0.4789557241490307","0.4789557241490307"
"2000000","1","1","1","0.4966064422018966","0.4966064422018966","0.4966064422018966"
"3000000","2","2","2","0.5371008721826455","0.5371008721826455","0.5371008721826455"
"4000000","3","3","3","0.6069880589260922","0.6069880589260922","0.6069880589260922"
"5000000","4","4","4","0.625046464517708","0.625046464517708","0.625046464517708"
"6000000","5","5","5","0.6212055037427889","0.6212055037427889","0.6212055037427889"
"7000000","6","6","6","0.6609381270057886","0.6609381270057886","0.6609381270057886"
"8000000","7","7","7","0.6938691425409906","0.6938691425409906","0.6938691425409906"
"9000000","8","8","8","0.6820646283585221","0.6820646283585221","0.6820646283585221"
"10000000","9","9","9","0.6878351928932649","0.6878351928932649","0.6878351928932649"
"11000000","10","10","10","0.7028348014941529","0.7028348014941529","0.7028348014941529"
"12000000","11","11","11","0.7195055748412287","0.7195055748412287","0.7195055748412287"
"13000000","12","12","12","0.7232097488215733","0.7232097488215733","0.7232097488215733"
"14000000","13","13","13","0.7414310045611286","0.7414310045611286","0.7414310045611286"
"15000000","14","14","14","0.7260956682961532","0.7260956682961532","0.7260956682961532"
"16000000","15","15","15","0.7492164292258082","0.7492164292258082","0.7492164292258082"
"17000000","16","16","16","0.7527750594614293","0.7527750594614293","0.7527750594614293"
"18000000","17","17","17","0.7711403858439762","0.7711403858439762","0.7711403858439762"
"19000000","18","18","18","0.7823259823237064","0.7823259823237064","0.7823259823237064"
"20000000","19","19","19","0.7883580485124694","0.7883580485124694","0.7883580485124694"
"21000000","20","20","20","0.7961869290592998","0.7961869290592998","0.7961869290592998"
"22000000","21","21","21","0.775119746191157","0.775119746191157","0.775119746191157"
"23000000","22","22","22","0.7666424865083306","0.7666424865083306","0.7666424865083306"
"24000000","23","23","23","0.7739959385970725","0.7739959385970725","0.7739959385970725"
"25000000","24","24","24","0.7818988953308936","0.7818988953308936","0.7818988953308936"
"26000000","25","25","25","0.8140099659133018","0.8140099659133018","0.8140099659133018"
