"custom_step","splendid-dragon-200 - _step","splendid-dragon-200 - _step__MIN","splendid-dragon-200 - _step__MAX","splendid-dragon-200 - train_metrics/Weighted_Average73","splendid-dragon-200 - train_metrics/Weighted_Average73__MIN","splendid-dragon-200 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.4671024295237093","0.4671024295237093","0.4671024295237093"
"2000000","1","1","1","0.5053584944416727","0.5053584944416727","0.5053584944416727"
"3000000","2","2","2","0.5099951623939696","0.5099951623939696","0.5099951623939696"
"4000000","3","3","3","0.5887042984572436","0.5887042984572436","0.5887042984572436"
"5000000","4","4","4","0.6246636388965054","0.6246636388965054","0.6246636388965054"
"6000000","5","5","5","0.6382641004960018","0.6382641004960018","0.6382641004960018"
"7000000","6","6","6","0.6610356986584851","0.6610356986584851","0.6610356986584851"
"8000000","7","7","7","0.6805689752177383","0.6805689752177383","0.6805689752177383"
"9000000","8","8","8","0.6883247788386089","0.6883247788386089","0.6883247788386089"
"10000000","9","9","9","0.6754974053228076","0.6754974053228076","0.6754974053228076"
"11000000","10","10","10","0.712759051389551","0.712759051389551","0.712759051389551"
"12000000","11","11","11","0.7037066570536037","0.7037066570536037","0.7037066570536037"
"13000000","12","12","12","0.7149242169842213","0.7149242169842213","0.7149242169842213"
"14000000","13","13","13","0.7222401878175848","0.7222401878175848","0.7222401878175848"
"15000000","14","14","14","0.7135348636991259","0.7135348636991259","0.7135348636991259"
"16000000","15","15","15","0.7266129694291622","0.7266129694291622","0.7266129694291622"
"17000000","16","16","16","0.7480470986422428","0.7480470986422428","0.7480470986422428"
"18000000","17","17","17","0.7602092672485892","0.7602092672485892","0.7602092672485892"
"19000000","18","18","18","0.7619789635536409","0.7619789635536409","0.7619789635536409"
"20000000","19","19","19","0.755009314231672","0.755009314231672","0.755009314231672"
"21000000","20","20","20","0.782774010799949","0.782774010799949","0.782774010799949"
"22000000","21","21","21","0.7968324331889649","0.7968324331889649","0.7968324331889649"
"23000000","22","22","22","0.8039954124660149","0.8039954124660149","0.8039954124660149"
"24000000","23","23","23","0.7900276732649084","0.7900276732649084","0.7900276732649084"
"25000000","24","24","24","0.8077253073333348","0.8077253073333348","0.8077253073333348"
"26000000","25","25","25","0.8187099226795684","0.8187099226795684","0.8187099226795684"
"27000000","26","26","26","0.8035994926059677","0.8035994926059677","0.8035994926059677"
"28000000","27","27","27","0.8171500353308101","0.8171500353308101","0.8171500353308101"
"29000000","28","28","28","0.8138382836565451","0.8138382836565451","0.8138382836565451"
"30000000","29","29","29","0.8252583090787122","0.8252583090787122","0.8252583090787122"
"31000000","30","30","30","0.8373674859402385","0.8373674859402385","0.8373674859402385"
"32000000","31","31","31","0.8384275923778088","0.8384275923778088","0.8384275923778088"
"33000000","32","32","32","0.7925467002541449","0.7925467002541449","0.7925467002541449"
"34000000","33","33","33","0.8337269122733055","0.8337269122733055","0.8337269122733055"
"35000000","34","34","34","0.8176707399129666","0.8176707399129666","0.8176707399129666"
"36000000","35","35","35","0.8432739334063852","0.8432739334063852","0.8432739334063852"
"37000000","36","36","36","0.8359709585353092","0.8359709585353092","0.8359709585353092"
"38000000","37","37","37","0.8498794691054534","0.8498794691054534","0.8498794691054534"
"39000000","38","38","38","0.8568398337824197","0.8568398337824197","0.8568398337824197"
"40000000","39","39","39","0.8442631115626203","0.8442631115626203","0.8442631115626203"
"41000000","40","40","40","0.8537237023264931","0.8537237023264931","0.8537237023264931"
"42000000","41","41","41","0.8372884843022075","0.8372884843022075","0.8372884843022075"
"43000000","42","42","42","0.8540081382090419","0.8540081382090419","0.8540081382090419"
"44000000","43","43","43","0.8511569087309654","0.8511569087309654","0.8511569087309654"
"45000000","44","44","44","0.8571417648589555","0.8571417648589555","0.8571417648589555"
"46000000","45","45","45","0.8596079936107772","0.8596079936107772","0.8596079936107772"
"47000000","46","46","46","0.8655385323936939","0.8655385323936939","0.8655385323936939"
"48000000","47","47","47","0.85987780608803","0.85987780608803","0.85987780608803"
"49000000","48","48","48","0.8552805130525587","0.8552805130525587","0.8552805130525587"
"50000000","49","49","49","0.849686932157206","0.849686932157206","0.849686932157206"
"51000000","50","50","50","0.8529467982180543","0.8529467982180543","0.8529467982180543"
"52000000","51","51","51","0.8643735149656289","0.8643735149656289","0.8643735149656289"
"53000000","52","52","52","0.8609158708056623","0.8609158708056623","0.8609158708056623"
"54000000","53","53","53","0.8740217588800908","0.8740217588800908","0.8740217588800908"
"55000000","54","54","54","0.8633297457691129","0.8633297457691129","0.8633297457691129"
"56000000","55","55","55","0.8643766580148025","0.8643766580148025","0.8643766580148025"
"57000000","56","56","56","0.8702499312101966","0.8702499312101966","0.8702499312101966"
"58000000","57","57","57","0.8691404200695966","0.8691404200695966","0.8691404200695966"
"59000000","58","58","58","0.868914701394548","0.868914701394548","0.868914701394548"
"60000000","59","59","59","0.853707512827018","0.853707512827018","0.853707512827018"
"61000000","60","60","60","0.8786525059397374","0.8786525059397374","0.8786525059397374"
"62000000","61","61","61","0.8754916930970971","0.8754916930970971","0.8754916930970971"
"63000000","62","62","62","0.8847664423964585","0.8847664423964585","0.8847664423964585"
"64000000","63","63","63","0.8785232599540409","0.8785232599540409","0.8785232599540409"
"65000000","64","64","64","0.8734816505381366","0.8734816505381366","0.8734816505381366"
"66000000","65","65","65","0.8840318486203869","0.8840318486203869","0.8840318486203869"
"67000000","66","66","66","0.8831467310505157","0.8831467310505157","0.8831467310505157"
"68000000","67","67","67","0.8734954443270134","0.8734954443270134","0.8734954443270134"
"69000000","68","68","68","0.8760404297180366","0.8760404297180366","0.8760404297180366"
"70000000","69","69","69","0.8857912165651715","0.8857912165651715","0.8857912165651715"
"71000000","70","70","70","0.8815698961122473","0.8815698961122473","0.8815698961122473"
"72000000","71","71","71","0.8743139784898888","0.8743139784898888","0.8743139784898888"
"73000000","72","72","72","0.8936562620111939","0.8936562620111939","0.8936562620111939"
