"custom_step","drawn-forest-186 - _step","drawn-forest-186 - _step__MIN","drawn-forest-186 - _step__MAX","drawn-forest-186 - train_metrics/Neutrality","drawn-forest-186 - train_metrics/Neutrality__MIN","drawn-forest-186 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.6654534537125512","0.6654534537125512","0.6654534537125512"
"2000000","1","1","1","0.6950838291123704","0.6950838291123704","0.6950838291123704"
"3000000","2","2","2","0.7287561845577105","0.7287561845577105","0.7287561845577105"
"4000000","3","3","3","0.7595257847662227","0.7595257847662227","0.7595257847662227"
"5000000","4","4","4","0.7797052119979302","0.7797052119979302","0.7797052119979302"
"6000000","5","5","5","0.7921540269156518","0.7921540269156518","0.7921540269156518"
"7000000","6","6","6","0.790682261055731","0.790682261055731","0.790682261055731"
"8000000","7","7","7","0.7931475861260907","0.7931475861260907","0.7931475861260907"
"9000000","8","8","8","0.8042111057653959","0.8042111057653959","0.8042111057653959"
"10000000","9","9","9","0.8067444731384228","0.8067444731384228","0.8067444731384228"
"11000000","10","10","10","0.8037717936115208","0.8037717936115208","0.8037717936115208"
"12000000","11","11","11","0.8138105339257213","0.8138105339257213","0.8138105339257213"
"13000000","12","12","12","0.807632540824415","0.807632540824415","0.807632540824415"
"14000000","13","13","13","0.8054315392869897","0.8054315392869897","0.8054315392869897"
"15000000","14","14","14","0.8018062425479265","0.8018062425479265","0.8018062425479265"
"16000000","15","15","15","0.8018727278347723","0.8018727278347723","0.8018727278347723"
"17000000","16","16","16","0.8132950531785336","0.8132950531785336","0.8132950531785336"
"18000000","17","17","17","0.8119792498555951","0.8119792498555951","0.8119792498555951"
"19000000","18","18","18","0.8209818722561404","0.8209818722561404","0.8209818722561404"
"20000000","19","19","19","0.8154386523274482","0.8154386523274482","0.8154386523274482"
"21000000","20","20","20","0.8114317569177515","0.8114317569177515","0.8114317569177515"
"22000000","21","21","21","0.8065452203003391","0.8065452203003391","0.8065452203003391"
"23000000","22","22","22","0.8151077140722666","0.8151077140722666","0.8151077140722666"
"24000000","23","23","23","0.8115269810411149","0.8115269810411149","0.8115269810411149"
"25000000","24","24","24","0.8166118568657289","0.8166118568657289","0.8166118568657289"
"26000000","25","25","25","0.8183316868691043","0.8183316868691043","0.8183316868691043"
"27000000","26","26","26","0.8014862964568933","0.8014862964568933","0.8014862964568933"
"28000000","27","27","27","0.8146503531169847","0.8146503531169847","0.8146503531169847"
"29000000","28","28","28","0.8194062920216233","0.8194062920216233","0.8194062920216233"
"30000000","29","29","29","0.8088401884205478","0.8088401884205478","0.8088401884205478"
"31000000","30","30","30","0.8155752991512706","0.8155752991512706","0.8155752991512706"
"32000000","31","31","31","0.8060884484518427","0.8060884484518427","0.8060884484518427"
"33000000","32","32","32","0.8161850869900553","0.8161850869900553","0.8161850869900553"
"34000000","33","33","33","0.8061278120239546","0.8061278120239546","0.8061278120239546"
"35000000","34","34","34","0.8158219449626222","0.8158219449626222","0.8158219449626222"
"36000000","35","35","35","0.8252738697487432","0.8252738697487432","0.8252738697487432"
"37000000","36","36","36","0.813679113090527","0.813679113090527","0.813679113090527"
"38000000","37","37","37","0.8249745982259759","0.8249745982259759","0.8249745982259759"
"39000000","38","38","38","0.8234653638403489","0.8234653638403489","0.8234653638403489"
