"custom_step","deep-bush-181 - _step","deep-bush-181 - _step__MIN","deep-bush-181 - _step__MAX","deep-bush-181 - train_metrics/Neutrality","deep-bush-181 - train_metrics/Neutrality__MIN","deep-bush-181 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.6636327810777001","0.6636327810777001","0.6636327810777001"
"2000000","1","1","1","0.6959938654906829","0.6959938654906829","0.6959938654906829"
"3000000","2","2","2","0.7287212738247202","0.7287212738247202","0.7287212738247202"
"4000000","3","3","3","0.7570341155261193","0.7570341155261193","0.7570341155261193"
"5000000","4","4","4","0.7627075594062833","0.7627075594062833","0.7627075594062833"
"6000000","5","5","5","0.7824346633628118","0.7824346633628118","0.7824346633628118"
"7000000","6","6","6","0.7842167205554769","0.7842167205554769","0.7842167205554769"
"8000000","7","7","7","0.786595252929093","0.786595252929093","0.786595252929093"
"9000000","8","8","8","0.7923301611696946","0.7923301611696946","0.7923301611696946"
"10000000","9","9","9","0.802100333172972","0.802100333172972","0.802100333172972"
"11000000","10","10","10","0.8008217114268243","0.8008217114268243","0.8008217114268243"
"12000000","11","11","11","0.8028173622024303","0.8028173622024303","0.8028173622024303"
"13000000","12","12","12","0.8073918829282017","0.8073918829282017","0.8073918829282017"
"14000000","13","13","13","0.8135771283289333","0.8135771283289333","0.8135771283289333"
"15000000","14","14","14","0.8173512345980977","0.8173512345980977","0.8173512345980977"
"16000000","15","15","15","0.8085385022152926","0.8085385022152926","0.8085385022152926"
"17000000","16","16","16","0.8123691608120555","0.8123691608120555","0.8123691608120555"
"18000000","17","17","17","0.8078634314486594","0.8078634314486594","0.8078634314486594"
"19000000","18","18","18","0.8099206525113319","0.8099206525113319","0.8099206525113319"
"20000000","19","19","19","0.8055043159213475","0.8055043159213475","0.8055043159213475"
"21000000","20","20","20","0.8108494709474348","0.8108494709474348","0.8108494709474348"
"22000000","21","21","21","0.8119995798324319","0.8119995798324319","0.8119995798324319"
"23000000","22","22","22","0.8195759199063603","0.8195759199063603","0.8195759199063603"
"24000000","23","23","23","0.8096434901011536","0.8096434901011536","0.8096434901011536"
"25000000","24","24","24","0.8058534661551309","0.8058534661551309","0.8058534661551309"
"26000000","25","25","25","0.8176681441298921","0.8176681441298921","0.8176681441298921"
"27000000","26","26","26","0.8106516354653857","0.8106516354653857","0.8106516354653857"
"28000000","27","27","27","0.8215967907600283","0.8215967907600283","0.8215967907600283"
"29000000","28","28","28","0.8080705553406805","0.8080705553406805","0.8080705553406805"
"30000000","29","29","29","0.8163473027639366","0.8163473027639366","0.8163473027639366"
"31000000","30","30","30","0.8163333642715211","0.8163333642715211","0.8163333642715211"
"32000000","31","31","31","0.8233992137655644","0.8233992137655644","0.8233992137655644"
"33000000","32","32","32","0.8236143656892344","0.8236143656892344","0.8236143656892344"
"34000000","33","33","33","0.8177816764801075","0.8177816764801075","0.8177816764801075"
"35000000","34","34","34","0.8243048173924956","0.8243048173924956","0.8243048173924956"
"36000000","35","35","35","0.8071627141205922","0.8071627141205922","0.8071627141205922"
"37000000","36","36","36","0.8213195695342166","0.8213195695342166","0.8213195695342166"
"38000000","37","37","37","0.8212602363983253","0.8212602363983253","0.8212602363983253"
"39000000","38","38","38","0.8222027190218473","0.8222027190218473","0.8222027190218473"
"40000000","39","39","39","0.8359998236263825","0.8359998236263825","0.8359998236263825"
"41000000","40","40","40","0.8378266234118715","0.8378266234118715","0.8378266234118715"
"42000000","41","41","41","0.8284205749004204","0.8284205749004204","0.8284205749004204"
"43000000","42","42","42","0.826688173800111","0.826688173800111","0.826688173800111"
"44000000","43","43","43","0.8272146374139657","0.8272146374139657","0.8272146374139657"
"45000000","44","44","44","0.8338177030172623","0.8338177030172623","0.8338177030172623"
"46000000","45","45","45","0.8356692804118101","0.8356692804118101","0.8356692804118101"
"47000000","46","46","46","0.8412191634700902","0.8412191634700902","0.8412191634700902"
"48000000","47","47","47","0.8377459043013319","0.8377459043013319","0.8377459043013319"
"49000000","48","48","48","0.8356946535986942","0.8356946535986942","0.8356946535986942"
"50000000","49","49","49","0.8386981064048006","0.8386981064048006","0.8386981064048006"
"51000000","50","50","50","0.829249341769492","0.829249341769492","0.829249341769492"
"52000000","51","51","51","0.841665741029843","0.841665741029843","0.841665741029843"
"53000000","52","52","52","0.834418703745125","0.834418703745125","0.834418703745125"
"54000000","53","53","53","0.8377349274243256","0.8377349274243256","0.8377349274243256"
"55000000","54","54","54","0.8460053069708228","0.8460053069708228","0.8460053069708228"
"56000000","55","55","55","0.8464517182379925","0.8464517182379925","0.8464517182379925"
"57000000","56","56","56","0.8522151453163196","0.8522151453163196","0.8522151453163196"
"58000000","57","57","57","0.8424080648254495","0.8424080648254495","0.8424080648254495"
"59000000","58","58","58","0.8391295963104641","0.8391295963104641","0.8391295963104641"
"60000000","59","59","59","0.8398788227549626","0.8398788227549626","0.8398788227549626"
"61000000","60","60","60","0.8443308295055354","0.8443308295055354","0.8443308295055354"
"62000000","61","61","61","0.8301411690056307","0.8301411690056307","0.8301411690056307"
"63000000","62","62","62","0.8400090110305332","0.8400090110305332","0.8400090110305332"
"64000000","63","63","63","0.8411144725127054","0.8411144725127054","0.8411144725127054"
"65000000","64","64","64","0.8440190686794515","0.8440190686794515","0.8440190686794515"
"66000000","65","65","65","0.8545529639789432","0.8545529639789432","0.8545529639789432"
"67000000","66","66","66","0.8413808326167239","0.8413808326167239","0.8413808326167239"
"68000000","67","67","67","0.8456015352843292","0.8456015352843292","0.8456015352843292"
"69000000","68","68","68","0.8407650291289511","0.8407650291289511","0.8407650291289511"
"70000000","69","69","69","0.8534473224001642","0.8534473224001642","0.8534473224001642"
"71000000","70","70","70","0.8317653804510725","0.8317653804510725","0.8317653804510725"
"72000000","71","71","71","0.8453662102590292","0.8453662102590292","0.8453662102590292"
"73000000","72","72","72","0.8464916558239883","0.8464916558239883","0.8464916558239883"
"74000000","73","73","73","0.8551311291237804","0.8551311291237804","0.8551311291237804"
"75000000","74","74","74","0.8505626903445831","0.8505626903445831","0.8505626903445831"
"76000000","75","75","75","0.8451581685824364","0.8451581685824364","0.8451581685824364"
"77000000","76","76","76","0.8549623546599774","0.8549623546599774","0.8549623546599774"
"78000000","77","77","77","0.8474638413328506","0.8474638413328506","0.8474638413328506"
"79000000","78","78","78","0.8466532155621832","0.8466532155621832","0.8466532155621832"
"80000000","79","79","79","0.8485710213128902","0.8485710213128902","0.8485710213128902"
"81000000","80","80","80","0.8411011018783104","0.8411011018783104","0.8411011018783104"
"82000000","81","81","81","0.845454728226525","0.845454728226525","0.845454728226525"
"83000000","82","82","82","0.8515920499630121","0.8515920499630121","0.8515920499630121"
"84000000","83","83","83","0.8526933397215236","0.8526933397215236","0.8526933397215236"
"85000000","84","84","84","0.8526326766826577","0.8526326766826577","0.8526326766826577"
"86000000","85","85","85","0.8503505423671127","0.8503505423671127","0.8503505423671127"
"87000000","86","86","86","0.8578240508788543","0.8578240508788543","0.8578240508788543"
"88000000","87","87","87","0.8485475467950031","0.8485475467950031","0.8485475467950031"
"89000000","88","88","88","0.847918148575518","0.847918148575518","0.847918148575518"
"90000000","89","89","89","0.8421797460681161","0.8421797460681161","0.8421797460681161"
"91000000","90","90","90","0.8491848276652317","0.8491848276652317","0.8491848276652317"
"92000000","91","91","91","0.8543861657498963","0.8543861657498963","0.8543861657498963"
"93000000","92","92","92","0.8561201931033067","0.8561201931033067","0.8561201931033067"
"94000000","93","93","93","0.8364731744784263","0.8364731744784263","0.8364731744784263"
"95000000","94","94","94","0.8457650634205817","0.8457650634205817","0.8457650634205817"
"96000000","95","95","95","0.8461199588199365","0.8461199588199365","0.8461199588199365"
"97000000","96","96","96","0.8548831845190369","0.8548831845190369","0.8548831845190369"
"98000000","97","97","97","0.8553690394651841","0.8553690394651841","0.8553690394651841"
"99000000","98","98","98","0.8465620050542361","0.8465620050542361","0.8465620050542361"
"100000000","99","99","99","0.8471449919441716","0.8471449919441716","0.8471449919441716"
