"custom_step","sleek-rain-188 - _step","sleek-rain-188 - _step__MIN","sleek-rain-188 - _step__MAX","sleek-rain-188 - train_metrics/Usefulness","sleek-rain-188 - train_metrics/Usefulness__MIN","sleek-rain-188 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.3808339784326248","0.3808339784326248","0.3808339784326248"
"2000000","1","1","1","0.4595474145801141","0.4595474145801141","0.4595474145801141"
"3000000","2","2","2","0.5244341379704036","0.5244341379704036","0.5244341379704036"
"4000000","3","3","3","0.5798447689674754","0.5798447689674754","0.5798447689674754"
"5000000","4","4","4","0.6223038966764841","0.6223038966764841","0.6223038966764841"
"6000000","5","5","5","0.6503770096236874","0.6503770096236874","0.6503770096236874"
"7000000","6","6","6","0.6685216552094194","0.6685216552094194","0.6685216552094194"
"8000000","7","7","7","0.6816562178509263","0.6816562178509263","0.6816562178509263"
"9000000","8","8","8","0.6894748149881673","0.6894748149881673","0.6894748149881673"
"10000000","9","9","9","0.6938658975915846","0.6938658975915846","0.6938658975915846"
"11000000","10","10","10","0.7040995498850763","0.7040995498850763","0.7040995498850763"
"12000000","11","11","11","0.7100174023718661","0.7100174023718661","0.7100174023718661"
"13000000","12","12","12","0.7207417782448139","0.7207417782448139","0.7207417782448139"
"14000000","13","13","13","0.7277787058812449","0.7277787058812449","0.7277787058812449"
"15000000","14","14","14","0.7352346616238351","0.7352346616238351","0.7352346616238351"
"16000000","15","15","15","0.7366731595934967","0.7366731595934967","0.7366731595934967"
"17000000","16","16","16","0.7509258509910814","0.7509258509910814","0.7509258509910814"
"18000000","17","17","17","0.7518374588649256","0.7518374588649256","0.7518374588649256"
"19000000","18","18","18","0.7600027919880439","0.7600027919880439","0.7600027919880439"
"20000000","19","19","19","0.7645993356409065","0.7645993356409065","0.7645993356409065"
"21000000","20","20","20","0.7744419055166405","0.7744419055166405","0.7744419055166405"
"22000000","21","21","21","0.7813608774592046","0.7813608774592046","0.7813608774592046"
"23000000","22","22","22","0.7838091593115702","0.7838091593115702","0.7838091593115702"
"24000000","23","23","23","0.7924350457767763","0.7924350457767763","0.7924350457767763"
"25000000","24","24","24","0.7979299173429452","0.7979299173429452","0.7979299173429452"
"26000000","25","25","25","0.7985909136377178","0.7985909136377178","0.7985909136377178"
"27000000","26","26","26","0.800753486172338","0.800753486172338","0.800753486172338"
"28000000","27","27","27","0.8083948471234615","0.8083948471234615","0.8083948471234615"
"29000000","28","28","28","0.8080785449577198","0.8080785449577198","0.8080785449577198"
