"custom_step","deep-bush-181 - _step","deep-bush-181 - _step__MIN","deep-bush-181 - _step__MAX","deep-bush-181 - train_metrics/Usefulness","deep-bush-181 - train_metrics/Usefulness__MIN","deep-bush-181 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.3894588979160192","0.3894588979160192","0.3894588979160192"
"2000000","1","1","1","0.4639987492994465","0.4639987492994465","0.4639987492994465"
"3000000","2","2","2","0.5277930029231307","0.5277930029231307","0.5277930029231307"
"4000000","3","3","3","0.5870736165338846","0.5870736165338846","0.5870736165338846"
"5000000","4","4","4","0.6336184745598238","0.6336184745598238","0.6336184745598238"
"6000000","5","5","5","0.6498105017655577","0.6498105017655577","0.6498105017655577"
"7000000","6","6","6","0.6716274721263369","0.6716274721263369","0.6716274721263369"
"8000000","7","7","7","0.6844323910381646","0.6844323910381646","0.6844323910381646"
"9000000","8","8","8","0.6875404859669336","0.6875404859669336","0.6875404859669336"
"10000000","9","9","9","0.6949206374865495","0.6949206374865495","0.6949206374865495"
"11000000","10","10","10","0.7043513001080127","0.7043513001080127","0.7043513001080127"
"12000000","11","11","11","0.715549324878585","0.715549324878585","0.715549324878585"
"13000000","12","12","12","0.7181019024542521","0.7181019024542521","0.7181019024542521"
"14000000","13","13","13","0.7269739274461774","0.7269739274461774","0.7269739274461774"
"15000000","14","14","14","0.7281831991631599","0.7281831991631599","0.7281831991631599"
"16000000","15","15","15","0.7395753155567172","0.7395753155567172","0.7395753155567172"
"17000000","16","16","16","0.745928275815476","0.745928275815476","0.745928275815476"
"18000000","17","17","17","0.7535247119151712","0.7535247119151712","0.7535247119151712"
"19000000","18","18","18","0.7618627031364391","0.7618627031364391","0.7618627031364391"
"20000000","19","19","19","0.7687831724439297","0.7687831724439297","0.7687831724439297"
"21000000","20","20","20","0.7675351499488843","0.7675351499488843","0.7675351499488843"
"22000000","21","21","21","0.7759131880032044","0.7759131880032044","0.7759131880032044"
"23000000","22","22","22","0.7750310169352855","0.7750310169352855","0.7750310169352855"
"24000000","23","23","23","0.7884264449174959","0.7884264449174959","0.7884264449174959"
"25000000","24","24","24","0.7911396375464665","0.7911396375464665","0.7911396375464665"
"26000000","25","25","25","0.7947269823066804","0.7947269823066804","0.7947269823066804"
