"custom_step","distinctive-blaze-187 - _step","distinctive-blaze-187 - _step__MIN","distinctive-blaze-187 - _step__MAX","distinctive-blaze-187 - train_metrics/Usefulness","distinctive-blaze-187 - train_metrics/Usefulness__MIN","distinctive-blaze-187 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.3883266871865285","0.3883266871865285","0.3883266871865285"
"2000000","1","1","1","0.4617160006853875","0.4617160006853875","0.4617160006853875"
"3000000","2","2","2","0.5249113739118562","0.5249113739118562","0.5249113739118562"
"4000000","3","3","3","0.5896574529268453","0.5896574529268453","0.5896574529268453"
"5000000","4","4","4","0.6260052066158295","0.6260052066158295","0.6260052066158295"
"6000000","5","5","5","0.6517255965794555","0.6517255965794555","0.6517255965794555"
"7000000","6","6","6","0.6727743815944134","0.6727743815944134","0.6727743815944134"
"8000000","7","7","7","0.6855502985316806","0.6855502985316806","0.6855502985316806"
"9000000","8","8","8","0.6910082055112368","0.6910082055112368","0.6910082055112368"
"10000000","9","9","9","0.7019976448957854","0.7019976448957854","0.7019976448957854"
"11000000","10","10","10","0.713649188254005","0.713649188254005","0.713649188254005"
"12000000","11","11","11","0.7170350189289251","0.7170350189289251","0.7170350189289251"
"13000000","12","12","12","0.7232620099655924","0.7232620099655924","0.7232620099655924"
"14000000","13","13","13","0.7274403861010984","0.7274403861010984","0.7274403861010984"
"15000000","14","14","14","0.7332826068835113","0.7332826068835113","0.7332826068835113"
"16000000","15","15","15","0.747732006792368","0.747732006792368","0.747732006792368"
"17000000","16","16","16","0.7498297154020725","0.7498297154020725","0.7498297154020725"
"18000000","17","17","17","0.7544175405069985","0.7544175405069985","0.7544175405069985"
"19000000","18","18","18","0.7577644027004143","0.7577644027004143","0.7577644027004143"
"20000000","19","19","19","0.7669206102703762","0.7669206102703762","0.7669206102703762"
"21000000","20","20","20","0.774532855069673","0.774532855069673","0.774532855069673"
"22000000","21","21","21","0.7791461379386792","0.7791461379386792","0.7791461379386792"
"23000000","22","22","22","0.7858481337497384","0.7858481337497384","0.7858481337497384"
"24000000","23","23","23","0.7948565899949408","0.7948565899949408","0.7948565899949408"
"25000000","24","24","24","0.7929503315980989","0.7929503315980989","0.7929503315980989"
"26000000","25","25","25","0.8001233061860028","0.8001233061860028","0.8001233061860028"
"27000000","26","26","26","0.8000792943170393","0.8000792943170393","0.8000792943170393"
"28000000","27","27","27","0.8112268694410103","0.8112268694410103","0.8112268694410103"
"29000000","28","28","28","0.8110863928720117","0.8110863928720117","0.8110863928720117"
"30000000","29","29","29","0.8130903156931482","0.8130903156931482","0.8130903156931482"
"31000000","30","30","30","0.8187244699869012","0.8187244699869012","0.8187244699869012"
"32000000","31","31","31","0.8252538373115164","0.8252538373115164","0.8252538373115164"
