"custom_step","sleek-rain-188 - _step","sleek-rain-188 - _step__MIN","sleek-rain-188 - _step__MAX","sleek-rain-188 - train_metrics/Weighted_Average73","sleek-rain-188 - train_metrics/Weighted_Average73__MIN","sleek-rain-188 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.46593915372762995","0.46593915372762995","0.46593915372762995"
"2000000","1","1","1","0.5307922420177055","0.5307922420177055","0.5307922420177055"
"3000000","2","2","2","0.5858467115628564","0.5858467115628564","0.5858467115628564"
"4000000","3","3","3","0.6347633982513267","0.6347633982513267","0.6347633982513267"
"5000000","4","4","4","0.6693417247739211","0.6693417247739211","0.6693417247739211"
"6000000","5","5","5","0.6905220385002695","0.6905220385002695","0.6905220385002695"
"7000000","6","6","6","0.707445049065633","0.707445049065633","0.707445049065633"
"8000000","7","7","7","0.7159101135786105","0.7159101135786105","0.7159101135786105"
"9000000","8","8","8","0.725396913035953","0.725396913035953","0.725396913035953"
"10000000","9","9","9","0.7278126085654987","0.7278126085654987","0.7278126085654987"
"11000000","10","10","10","0.7348688826174463","0.7348688826174463","0.7348688826174463"
"12000000","11","11","11","0.7410677027281891","0.7410677027281891","0.7410677027281891"
"13000000","12","12","12","0.7481621169536152","0.7481621169536152","0.7481621169536152"
"14000000","13","13","13","0.7498990731094509","0.7498990731094509","0.7498990731094509"
"15000000","14","14","14","0.7564770489079263","0.7564770489079263","0.7564770489079263"
"16000000","15","15","15","0.7580449773875289","0.7580449773875289","0.7580449773875289"
"17000000","16","16","16","0.7686421257744879","0.7686421257744879","0.7686421257744879"
"18000000","17","17","17","0.7687753166958755","0.7687753166958755","0.7687753166958755"
"19000000","18","18","18","0.775255485782522","0.775255485782522","0.775255485782522"
"20000000","19","19","19","0.7754779062523118","0.7754779062523118","0.7754779062523118"
"21000000","20","20","20","0.782417782548393","0.782417782548393","0.782417782548393"
"22000000","21","21","21","0.7895772947751516","0.7895772947751516","0.7895772947751516"
"23000000","22","22","22","0.7927111677245768","0.7927111677245768","0.7927111677245768"
"24000000","23","23","23","0.7957854391628716","0.7957854391628716","0.7957854391628716"
"25000000","24","24","24","0.7996692656142109","0.7996692656142109","0.7996692656142109"
"26000000","25","25","25","0.7995958347081265","0.7995958347081265","0.7995958347081265"
"27000000","26","26","26","0.804581161668658","0.804581161668658","0.804581161668658"
"28000000","27","27","27","0.8101086333466521","0.8101086333466521","0.8101086333466521"
"29000000","28","28","28","0.8106877999998805","0.8106877999998805","0.8106877999998805"
"30000000","29","29","29","0.8170189059361865","0.8170189059361865","0.8170189059361865"
"31000000","30","30","30","0.818225350439513","0.818225350439513","0.818225350439513"
"32000000","31","31","31","0.818775212733206","0.818775212733206","0.818775212733206"
"33000000","32","32","32","0.8206258926640275","0.8206258926640275","0.8206258926640275"
"34000000","33","33","33","0.8224908699225695","0.8224908699225695","0.8224908699225695"
"35000000","34","34","34","0.8297489350552527","0.8297489350552527","0.8297489350552527"
"36000000","35","35","35","0.8301262757381068","0.8301262757381068","0.8301262757381068"
"37000000","36","36","36","0.8331881273738115","0.8331881273738115","0.8331881273738115"
