"custom_step","drawn-forest-186 - _step","drawn-forest-186 - _step__MIN","drawn-forest-186 - _step__MAX","drawn-forest-186 - train_metrics/Weighted_Average73","drawn-forest-186 - train_metrics/Weighted_Average73__MIN","drawn-forest-186 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.4735155458662349","0.4735155458662349","0.4735155458662349"
"2000000","1","1","1","0.5351709820944136","0.5351709820944136","0.5351709820944136"
"3000000","2","2","2","0.5850338953086882","0.5850338953086882","0.5850338953086882"
"4000000","3","3","3","0.6374512399820146","0.6374512399820146","0.6374512399820146"
"5000000","4","4","4","0.6663946645479073","0.6663946645479073","0.6663946645479073"
"6000000","5","5","5","0.6910628028642342","0.6910628028642342","0.6910628028642342"
"7000000","6","6","6","0.704827150885012","0.704827150885012","0.704827150885012"
"8000000","7","7","7","0.7164946750680572","0.7164946750680572","0.7164946750680572"
"9000000","8","8","8","0.7214502578469802","0.7214502578469802","0.7214502578469802"
"10000000","9","9","9","0.7260681491771867","0.7260681491771867","0.7260681491771867"
"11000000","10","10","10","0.7371717676546999","0.7371717676546999","0.7371717676546999"
"12000000","11","11","11","0.7412567181203866","0.7412567181203866","0.7412567181203866"
"13000000","12","12","12","0.7478410934764617","0.7478410934764617","0.7478410934764617"
"14000000","13","13","13","0.7517656920672771","0.7517656920672771","0.7517656920672771"
"15000000","14","14","14","0.7582581732550131","0.7582581732550131","0.7582581732550131"
"16000000","15","15","15","0.7627176241110986","0.7627176241110986","0.7627176241110986"
"17000000","16","16","16","0.7647770047716226","0.7647770047716226","0.7647770047716226"
"18000000","17","17","17","0.7694661970743331","0.7694661970743331","0.7694661970743331"
"19000000","18","18","18","0.776303961383602","0.776303961383602","0.776303961383602"
"20000000","19","19","19","0.7781458992202865","0.7781458992202865","0.7781458992202865"
"21000000","20","20","20","0.7859957830286524","0.7859957830286524","0.7859957830286524"
"22000000","21","21","21","0.786115421202681","0.786115421202681","0.786115421202681"
"23000000","22","22","22","0.7919843763370654","0.7919843763370654","0.7919843763370654"
"24000000","23","23","23","0.7967228250557165","0.7967228250557165","0.7967228250557165"
"25000000","24","24","24","0.7989802538223045","0.7989802538223045","0.7989802538223045"
"26000000","25","25","25","0.8022898829879237","0.8022898829879237","0.8022898829879237"
"27000000","26","26","26","0.8017068943370961","0.8017068943370961","0.8017068943370961"
"28000000","27","27","27","0.8083051705638503","0.8083051705638503","0.8083051705638503"
"29000000","28","28","28","0.8122680773061111","0.8122680773061111","0.8122680773061111"
"30000000","29","29","29","0.8140387489081169","0.8140387489081169","0.8140387489081169"
"31000000","30","30","30","0.8182791382367585","0.8182791382367585","0.8182791382367585"
"32000000","31","31","31","0.8198850436324029","0.8198850436324029","0.8198850436324029"
"33000000","32","32","32","0.8260385133441226","0.8260385133441226","0.8260385133441226"
"34000000","33","33","33","0.8207555872921319","0.8207555872921319","0.8207555872921319"
"35000000","34","34","34","0.8265002045315926","0.8265002045315926","0.8265002045315926"
"36000000","35","35","35","0.8315891849074551","0.8315891849074551","0.8315891849074551"
"37000000","36","36","36","0.8323574769776735","0.8323574769776735","0.8323574769776735"
"38000000","37","37","37","0.8345758089698108","0.8345758089698108","0.8345758089698108"
"39000000","38","38","38","0.8344725744647001","0.8344725744647001","0.8344725744647001"
"40000000","39","39","39","0.8401595341081209","0.8401595341081209","0.8401595341081209"
"41000000","40","40","40","0.8393214137128437","0.8393214137128437","0.8393214137128437"
"42000000","41","41","41","0.8405563376833203","0.8405563376833203","0.8405563376833203"
"43000000","42","42","42","0.8357599358065821","0.8357599358065821","0.8357599358065821"
"44000000","43","43","43","0.8386262698315115","0.8386262698315115","0.8386262698315115"
"45000000","44","44","44","0.8450348496419055","0.8450348496419055","0.8450348496419055"
