"custom_step","curious-aardvark-190 - _step","curious-aardvark-190 - _step__MIN","curious-aardvark-190 - _step__MAX","curious-aardvark-190 - train_metrics/Usefulness","curious-aardvark-190 - train_metrics/Usefulness__MIN","curious-aardvark-190 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.4992776925624183","0.4992776925624183","0.4992776925624183"
"2000000","1","1","1","0.678731317459751","0.678731317459751","0.678731317459751"
"3000000","2","2","2","0.8090510395393898","0.8090510395393898","0.8090510395393898"
"4000000","3","3","3","0.8750744546297997","0.8750744546297997","0.8750744546297997"
"5000000","4","4","4","0.9049194393488139","0.9049194393488139","0.9049194393488139"
"6000000","5","5","5","0.9196350436335432","0.9196350436335432","0.9196350436335432"
"7000000","6","6","6","0.9271852173061744","0.9271852173061744","0.9271852173061744"
"8000000","7","7","7","0.932948775378876","0.932948775378876","0.932948775378876"
"9000000","8","8","8","0.9370726126862479","0.9370726126862479","0.9370726126862479"
"10000000","9","9","9","0.9411750702056801","0.9411750702056801","0.9411750702056801"
"11000000","10","10","10","0.9433634981104038","0.9433634981104038","0.9433634981104038"
"12000000","11","11","11","0.9436477328691827","0.9436477328691827","0.9436477328691827"
"13000000","12","12","12","0.9449456482957175","0.9449456482957175","0.9449456482957175"
"14000000","13","13","13","0.9461426706297246","0.9461426706297246","0.9461426706297246"
"15000000","14","14","14","0.9481585774651817","0.9481585774651817","0.9481585774651817"
"16000000","15","15","15","0.9520400959413663","0.9520400959413663","0.9520400959413663"
"17000000","16","16","16","0.952847895740132","0.952847895740132","0.952847895740132"
"18000000","17","17","17","0.9520378004471812","0.9520378004471812","0.9520378004471812"
"19000000","18","18","18","0.952295339918078","0.952295339918078","0.952295339918078"
"20000000","19","19","19","0.953743255249975","0.953743255249975","0.953743255249975"
"21000000","20","20","20","0.954785812332451","0.954785812332451","0.954785812332451"
"22000000","21","21","21","0.9554708773251579","0.9554708773251579","0.9554708773251579"
"23000000","22","22","22","0.9563117159208672","0.9563117159208672","0.9563117159208672"
"24000000","23","23","23","0.9573693328704636","0.9573693328704636","0.9573693328704636"
"25000000","24","24","24","0.9563873081020166","0.9563873081020166","0.9563873081020166"
"26000000","25","25","25","0.9570339203032746","0.9570339203032746","0.9570339203032746"
"27000000","26","26","26","0.9562534065654817","0.9562534065654817","0.9562534065654817"
"28000000","27","27","27","0.9563486011720537","0.9563486011720537","0.9563486011720537"
"29000000","28","28","28","0.9573372826409571","0.9573372826409571","0.9573372826409571"
"30000000","29","29","29","0.957490164876679","0.957490164876679","0.957490164876679"
"31000000","30","30","30","0.9579228329200992","0.9579228329200992","0.9579228329200992"
"32000000","31","31","31","0.9578723414894829","0.9578723414894829","0.9578723414894829"
"33000000","32","32","32","0.9571398040648145","0.9571398040648145","0.9571398040648145"
"34000000","33","33","33","0.9585711247170138","0.9585711247170138","0.9585711247170138"
"35000000","34","34","34","0.9582698724663511","0.9582698724663511","0.9582698724663511"
"36000000","35","35","35","0.9583049032121183","0.9583049032121183","0.9583049032121183"
"37000000","36","36","36","0.9570397478024318","0.9570397478024318","0.9570397478024318"
"38000000","37","37","37","0.9590955784296029","0.9590955784296029","0.9590955784296029"
"39000000","38","38","38","0.9582511803544156","0.9582511803544156","0.9582511803544156"
"40000000","39","39","39","0.9586534081195097","0.9586534081195097","0.9586534081195097"
"41000000","40","40","40","0.957486351282779","0.957486351282779","0.957486351282779"
"42000000","41","41","41","0.9592893902160745","0.9592893902160745","0.9592893902160745"
"43000000","42","42","42","0.9582080367900365","0.9582080367900365","0.9582080367900365"
"44000000","43","43","43","0.9591406077569212","0.9591406077569212","0.9591406077569212"
"45000000","44","44","44","0.9582193617352857","0.9582193617352857","0.9582193617352857"
"46000000","45","45","45","0.9593966359384213","0.9593966359384213","0.9593966359384213"
"47000000","46","46","46","0.9576210490248516","0.9576210490248516","0.9576210490248516"
"48000000","47","47","47","0.9585821681527131","0.9585821681527131","0.9585821681527131"
"49000000","48","48","48","0.9589258370463069","0.9589258370463069","0.9589258370463069"
"50000000","49","49","49","0.9602000636593322","0.9602000636593322","0.9602000636593322"
"51000000","50","50","50","0.9579959366738848","0.9579959366738848","0.9579959366738848"
"52000000","51","51","51","0.9599889638747654","0.9599889638747654","0.9599889638747654"
"53000000","52","52","52","0.9588075898984689","0.9588075898984689","0.9588075898984689"
"54000000","53","53","53","0.9600838775519847","0.9600838775519847","0.9600838775519847"
"55000000","54","54","54","0.9605319466867024","0.9605319466867024","0.9605319466867024"
"56000000","55","55","55","0.9579337757528052","0.9579337757528052","0.9579337757528052"
"57000000","56","56","56","0.9575086679641146","0.9575086679641146","0.9575086679641146"
"58000000","57","57","57","0.9571503818211631","0.9571503818211631","0.9571503818211631"
"59000000","58","58","58","0.9597180349844685","0.9597180349844685","0.9597180349844685"
"60000000","59","59","59","0.9591365736627396","0.9591365736627396","0.9591365736627396"
"61000000","60","60","60","0.9580191431145433","0.9580191431145433","0.9580191431145433"
"62000000","61","61","61","0.9580145987652107","0.9580145987652107","0.9580145987652107"
"63000000","62","62","62","0.9590948503724159","0.9590948503724159","0.9590948503724159"
"64000000","63","63","63","0.9569494128436377","0.9569494128436377","0.9569494128436377"
"65000000","64","64","64","0.9556497567526167","0.9556497567526167","0.9556497567526167"
"66000000","65","65","65","0.9579911575052451","0.9579911575052451","0.9579911575052451"
"67000000","66","66","66","0.9572940702327422","0.9572940702327422","0.9572940702327422"
"68000000","67","67","67","0.9553466792247848","0.9553466792247848","0.9553466792247848"
"69000000","68","68","68","0.9564982963912055","0.9564982963912055","0.9564982963912055"
"70000000","69","69","69","0.9552872550154774","0.9552872550154774","0.9552872550154774"
"71000000","70","70","70","0.9564611721423587","0.9564611721423587","0.9564611721423587"
"72000000","71","71","71","0.9587939661642736","0.9587939661642736","0.9587939661642736"
"73000000","72","72","72","0.9564901207973429","0.9564901207973429","0.9564901207973429"
"74000000","73","73","73","0.958059522612475","0.958059522612475","0.958059522612475"
"75000000","74","74","74","0.9586672939568806","0.9586672939568806","0.9586672939568806"
"76000000","75","75","75","0.9593762688167695","0.9593762688167695","0.9593762688167695"
"77000000","76","76","76","0.9589984718309362","0.9589984718309362","0.9589984718309362"
"78000000","77","77","77","0.95813901898694","0.95813901898694","0.95813901898694"
"79000000","78","78","78","0.9596727009482067","0.9596727009482067","0.9596727009482067"
"80000000","79","79","79","0.9596097386506743","0.9596097386506743","0.9596097386506743"
"81000000","80","80","80","0.9581168763994913","0.9581168763994913","0.9581168763994913"
"82000000","81","81","81","0.9572759784788232","0.9572759784788232","0.9572759784788232"
"83000000","82","82","82","0.9578154935551855","0.9578154935551855","0.9578154935551855"
"84000000","83","83","83","0.9581736128790674","0.9581736128790674","0.9581736128790674"
"85000000","84","84","84","0.9589618250319363","0.9589618250319363","0.9589618250319363"
"86000000","85","85","85","0.9572493202503974","0.9572493202503974","0.9572493202503974"
"87000000","86","86","86","0.9572780360318697","0.9572780360318697","0.9572780360318697"
"88000000","87","87","87","0.9573194200806563","0.9573194200806563","0.9573194200806563"
"89000000","88","88","88","0.9601300569687748","0.9601300569687748","0.9601300569687748"
"90000000","89","89","89","0.9590811998742129","0.9590811998742129","0.9590811998742129"
"91000000","90","90","90","0.9591036154312399","0.9591036154312399","0.9591036154312399"
"92000000","91","91","91","0.9594036730133105","0.9594036730133105","0.9594036730133105"
"93000000","92","92","92","0.9590299566673762","0.9590299566673762","0.9590299566673762"
"94000000","93","93","93","0.9585758601380792","0.9585758601380792","0.9585758601380792"
"95000000","94","94","94","0.9589652293746431","0.9589652293746431","0.9589652293746431"
"96000000","95","95","95","0.9584415720478072","0.9584415720478072","0.9584415720478072"
"97000000","96","96","96","0.9575468326790877","0.9575468326790877","0.9575468326790877"
"98000000","97","97","97","0.9590889292942738","0.9590889292942738","0.9590889292942738"
"99000000","98","98","98","0.9589047977708824","0.9589047977708824","0.9589047977708824"
"100000000","99","99","99","0.9581188112846699","0.9581188112846699","0.9581188112846699"
