"custom_step","jolly-cosmos-189 - _step","jolly-cosmos-189 - _step__MIN","jolly-cosmos-189 - _step__MAX","jolly-cosmos-189 - train_metrics/Usefulness","jolly-cosmos-189 - train_metrics/Usefulness__MIN","jolly-cosmos-189 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.4959792114352475","0.4959792114352475","0.4959792114352475"
"2000000","1","1","1","0.6807074592247134","0.6807074592247134","0.6807074592247134"
"3000000","2","2","2","0.8054423864465762","0.8054423864465762","0.8054423864465762"
"4000000","3","3","3","0.8714344091293338","0.8714344091293338","0.8714344091293338"
"5000000","4","4","4","0.9025509140085259","0.9025509140085259","0.9025509140085259"
"6000000","5","5","5","0.9188994670226173","0.9188994670226173","0.9188994670226173"
"7000000","6","6","6","0.9279266414400487","0.9279266414400487","0.9279266414400487"
"8000000","7","7","7","0.9320490912934701","0.9320490912934701","0.9320490912934701"
"9000000","8","8","8","0.9362474990613677","0.9362474990613677","0.9362474990613677"
"10000000","9","9","9","0.9394112762483273","0.9394112762483273","0.9394112762483273"
"11000000","10","10","10","0.9428717049693623","0.9428717049693623","0.9428717049693623"
"12000000","11","11","11","0.9463983968802021","0.9463983968802021","0.9463983968802021"
"13000000","12","12","12","0.9480610859401873","0.9480610859401873","0.9480610859401873"
"14000000","13","13","13","0.948935007867709","0.948935007867709","0.948935007867709"
"15000000","14","14","14","0.9498280289450137","0.9498280289450137","0.9498280289450137"
"16000000","15","15","15","0.9517869652800792","0.9517869652800792","0.9517869652800792"
"17000000","16","16","16","0.9527911520128829","0.9527911520128829","0.9527911520128829"
"18000000","17","17","17","0.953095483752073","0.953095483752073","0.953095483752073"
"19000000","18","18","18","0.9521963271315877","0.9521963271315877","0.9521963271315877"
"20000000","19","19","19","0.9535523616062155","0.9535523616062155","0.9535523616062155"
"21000000","20","20","20","0.9539539352336437","0.9539539352336437","0.9539539352336437"
"22000000","21","21","21","0.9543168920691033","0.9543168920691033","0.9543168920691033"
"23000000","22","22","22","0.9565963313519664","0.9565963313519664","0.9565963313519664"
"24000000","23","23","23","0.9570508074712716","0.9570508074712716","0.9570508074712716"
