"custom_step","breezy-serenity-169 - _step","breezy-serenity-169 - _step__MIN","breezy-serenity-169 - _step__MAX","breezy-serenity-169 - train_metrics/Usefulness","breezy-serenity-169 - train_metrics/Usefulness__MIN","breezy-serenity-169 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.557950065037763","0.557950065037763","0.557950065037763"
"2000000","1","1","1","0.720014971187438","0.720014971187438","0.720014971187438"
"3000000","2","2","2","0.8003694367474438","0.8003694367474438","0.8003694367474438"
"4000000","3","3","3","0.8461421224665824","0.8461421224665824","0.8461421224665824"
"5000000","4","4","4","0.8753727229294805","0.8753727229294805","0.8753727229294805"
"6000000","5","5","5","0.891787994045487","0.891787994045487","0.891787994045487"
"7000000","6","6","6","0.9021363414370888","0.9021363414370888","0.9021363414370888"
"8000000","7","7","7","0.9077127182316903","0.9077127182316903","0.9077127182316903"
"9000000","8","8","8","0.9148148220730666","0.9148148220730666","0.9148148220730666"
"10000000","9","9","9","0.9204028891305017","0.9204028891305017","0.9204028891305017"
"11000000","10","10","10","0.9313342878780229","0.9313342878780229","0.9313342878780229"
"12000000","11","11","11","0.9312958823408987","0.9312958823408987","0.9312958823408987"
"13000000","12","12","12","0.9305177250703377","0.9305177250703377","0.9305177250703377"
"14000000","13","13","13","0.9316422907276075","0.9316422907276075","0.9316422907276075"
"15000000","14","14","14","0.9330581638996142","0.9330581638996142","0.9330581638996142"
"16000000","15","15","15","0.9286691740629265","0.9286691740629265","0.9286691740629265"
"17000000","16","16","16","0.9290320161784714","0.9290320161784714","0.9290320161784714"
"18000000","17","17","17","0.9265735961316326","0.9265735961316326","0.9265735961316326"
"19000000","18","18","18","0.9283160218782512","0.9283160218782512","0.9283160218782512"
"20000000","19","19","19","0.929306675803569","0.929306675803569","0.929306675803569"
"21000000","20","20","20","0.9244678593221226","0.9244678593221226","0.9244678593221226"
"22000000","21","21","21","0.92631600791806","0.92631600791806","0.92631600791806"
"23000000","22","22","22","0.9271588105672531","0.9271588105672531","0.9271588105672531"
"24000000","23","23","23","0.923858659888348","0.923858659888348","0.923858659888348"
"25000000","24","24","24","0.9239799778069312","0.9239799778069312","0.9239799778069312"
"26000000","25","25","25","0.9241474622091155","0.9241474622091155","0.9241474622091155"
"27000000","26","26","26","0.9228560068555981","0.9228560068555981","0.9228560068555981"
"28000000","27","27","27","0.9209859499433751","0.9209859499433751","0.9209859499433751"
"29000000","28","28","28","0.920259523875857","0.920259523875857","0.920259523875857"
"30000000","29","29","29","0.9249147174691491","0.9249147174691491","0.9249147174691491"
"31000000","30","30","30","0.9250269867528835","0.9250269867528835","0.9250269867528835"
"32000000","31","31","31","0.9252597955922697","0.9252597955922697","0.9252597955922697"
"33000000","32","32","32","0.9214982243694712","0.9214982243694712","0.9214982243694712"
"34000000","33","33","33","0.9215129918000766","0.9215129918000766","0.9215129918000766"
"35000000","34","34","34","0.9227547400006973","0.9227547400006973","0.9227547400006973"
"36000000","35","35","35","0.9221885874319012","0.9221885874319012","0.9221885874319012"
"37000000","36","36","36","0.9195754556760056","0.9195754556760056","0.9195754556760056"
"38000000","37","37","37","0.9185346076973296","0.9185346076973296","0.9185346076973296"
"39000000","38","38","38","0.9185534967920591","0.9185534967920591","0.9185534967920591"
"40000000","39","39","39","0.9174149352623927","0.9174149352623927","0.9174149352623927"
"41000000","40","40","40","0.9200895997596467","0.9200895997596467","0.9200895997596467"
"42000000","41","41","41","0.9171414816136041","0.9171414816136041","0.9171414816136041"
