"custom_step","proud-durian-180 - _step","proud-durian-180 - _step__MIN","proud-durian-180 - _step__MAX","proud-durian-180 - train_metrics/Usefulness","proud-durian-180 - train_metrics/Usefulness__MIN","proud-durian-180 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.49746838229873364","0.49746838229873364","0.49746838229873364"
"2000000","1","1","1","0.6777045323033339","0.6777045323033339","0.6777045323033339"
"3000000","2","2","2","0.8096390451427374","0.8096390451427374","0.8096390451427374"
"4000000","3","3","3","0.871486593454583","0.871486593454583","0.871486593454583"
"5000000","4","4","4","0.9032643803841761","0.9032643803841761","0.9032643803841761"
"6000000","5","5","5","0.9194300476259138","0.9194300476259138","0.9194300476259138"
"7000000","6","6","6","0.9273299068827227","0.9273299068827227","0.9273299068827227"
"8000000","7","7","7","0.9308057903890634","0.9308057903890634","0.9308057903890634"
"9000000","8","8","8","0.9344335352801559","0.9344335352801559","0.9344335352801559"
"10000000","9","9","9","0.9381657863506574","0.9381657863506574","0.9381657863506574"
"11000000","10","10","10","0.9408541460016363","0.9408541460016363","0.9408541460016363"
"12000000","11","11","11","0.9429260272006356","0.9429260272006356","0.9429260272006356"
"13000000","12","12","12","0.9441965652907031","0.9441965652907031","0.9441965652907031"
"14000000","13","13","13","0.9467474139862502","0.9467474139862502","0.9467474139862502"
"15000000","14","14","14","0.9475252572372643","0.9475252572372643","0.9475252572372643"
"16000000","15","15","15","0.950007812427337","0.950007812427337","0.950007812427337"
"17000000","16","16","16","0.950493241913128","0.950493241913128","0.950493241913128"
"18000000","17","17","17","0.9522003537946949","0.9522003537946949","0.9522003537946949"
"19000000","18","18","18","0.9533051398448953","0.9533051398448953","0.9533051398448953"
"20000000","19","19","19","0.9526224377810544","0.9526224377810544","0.9526224377810544"
"21000000","20","20","20","0.9531165286369099","0.9531165286369099","0.9531165286369099"
"22000000","21","21","21","0.9535881625781534","0.9535881625781534","0.9535881625781534"
"23000000","22","22","22","0.9551602918270117","0.9551602918270117","0.9551602918270117"
"24000000","23","23","23","0.9558228317248167","0.9558228317248167","0.9558228317248167"
"25000000","24","24","24","0.9558159654306156","0.9558159654306156","0.9558159654306156"
"26000000","25","25","25","0.9554235854217255","0.9554235854217255","0.9554235854217255"
"27000000","26","26","26","0.9556162774925232","0.9556162774925232","0.9556162774925232"
"28000000","27","27","27","0.9554000050458744","0.9554000050458744","0.9554000050458744"
"29000000","28","28","28","0.9553808111885576","0.9553808111885576","0.9553808111885576"
"30000000","29","29","29","0.9541742671498171","0.9541742671498171","0.9541742671498171"
"31000000","30","30","30","0.9563729701308002","0.9563729701308002","0.9563729701308002"
"32000000","31","31","31","0.9560509943438517","0.9560509943438517","0.9560509943438517"
"33000000","32","32","32","0.9559601756080773","0.9559601756080773","0.9559601756080773"
"34000000","33","33","33","0.9561821628400338","0.9561821628400338","0.9561821628400338"
"35000000","34","34","34","0.9564943895027221","0.9564943895027221","0.9564943895027221"
"36000000","35","35","35","0.9569060497609679","0.9569060497609679","0.9569060497609679"
"37000000","36","36","36","0.9548523220151701","0.9548523220151701","0.9548523220151701"
"38000000","37","37","37","0.9569237411872741","0.9569237411872741","0.9569237411872741"
"39000000","38","38","38","0.9564950844371681","0.9564950844371681","0.9564950844371681"
"40000000","39","39","39","0.9572401903430434","0.9572401903430434","0.9572401903430434"
"41000000","40","40","40","0.9575366759857168","0.9575366759857168","0.9575366759857168"
"42000000","41","41","41","0.9562779112721438","0.9562779112721438","0.9562779112721438"
"43000000","42","42","42","0.9565971022360655","0.9565971022360655","0.9565971022360655"
"44000000","43","43","43","0.9564855501301396","0.9564855501301396","0.9564855501301396"
"45000000","44","44","44","0.9566104180034849","0.9566104180034849","0.9566104180034849"
"46000000","45","45","45","0.9575243897219352","0.9575243897219352","0.9575243897219352"
"47000000","46","46","46","0.9580250419657436","0.9580250419657436","0.9580250419657436"
"48000000","47","47","47","0.9579057776911551","0.9579057776911551","0.9579057776911551"
"49000000","48","48","48","0.9586026657177107","0.9586026657177107","0.9586026657177107"
"50000000","49","49","49","0.9586828750493177","0.9586828750493177","0.9586828750493177"
"51000000","50","50","50","0.9584707037940832","0.9584707037940832","0.9584707037940832"
"52000000","51","51","51","0.9587279300834495","0.9587279300834495","0.9587279300834495"
"53000000","52","52","52","0.9575944690511191","0.9575944690511191","0.9575944690511191"
"54000000","53","53","53","0.9580081525876255","0.9580081525876255","0.9580081525876255"
"55000000","54","54","54","0.9575796402920609","0.9575796402920609","0.9575796402920609"
"56000000","55","55","55","0.95810865261659","0.95810865261659","0.95810865261659"
"57000000","56","56","56","0.9569569365232161","0.9569569365232161","0.9569569365232161"
"58000000","57","57","57","0.9583709979479959","0.9583709979479959","0.9583709979479959"
"59000000","58","58","58","0.9577126631939169","0.9577126631939169","0.9577126631939169"
"60000000","59","59","59","0.9572478798104371","0.9572478798104371","0.9572478798104371"
"61000000","60","60","60","0.9577088338014413","0.9577088338014413","0.9577088338014413"
"62000000","61","61","61","0.9584326460433816","0.9584326460433816","0.9584326460433816"
"63000000","62","62","62","0.957391052053028","0.957391052053028","0.957391052053028"
"64000000","63","63","63","0.9573085744651466","0.9573085744651466","0.9573085744651466"
"65000000","64","64","64","0.9576514915538269","0.9576514915538269","0.9576514915538269"
"66000000","65","65","65","0.9567374621001659","0.9567374621001659","0.9567374621001659"
"67000000","66","66","66","0.9593550408243732","0.9593550408243732","0.9593550408243732"
"68000000","67","67","67","0.9592236344266379","0.9592236344266379","0.9592236344266379"
"69000000","68","68","68","0.9589752938366795","0.9589752938366795","0.9589752938366795"
"70000000","69","69","69","0.9591807477534626","0.9591807477534626","0.9591807477534626"
"71000000","70","70","70","0.957390234947839","0.957390234947839","0.957390234947839"
"72000000","71","71","71","0.9574209843275002","0.9574209843275002","0.9574209843275002"
"73000000","72","72","72","0.9574057674044715","0.9574057674044715","0.9574057674044715"
"74000000","73","73","73","0.9572299685755163","0.9572299685755163","0.9572299685755163"
"75000000","74","74","74","0.9574265521364633","0.9574265521364633","0.9574265521364633"
"76000000","75","75","75","0.9576354875140566","0.9576354875140566","0.9576354875140566"
"77000000","76","76","76","0.9575802011259552","0.9575802011259552","0.9575802011259552"
"78000000","77","77","77","0.9578767534500062","0.9578767534500062","0.9578767534500062"
"79000000","78","78","78","0.9581425023531046","0.9581425023531046","0.9581425023531046"
"80000000","79","79","79","0.9576465953998904","0.9576465953998904","0.9576465953998904"
"81000000","80","80","80","0.9576558949584498","0.9576558949584498","0.9576558949584498"
"82000000","81","81","81","0.9574677705285468","0.9574677705285468","0.9574677705285468"
"83000000","82","82","82","0.9575203266087778","0.9575203266087778","0.9575203266087778"
"84000000","83","83","83","0.9570083114794832","0.9570083114794832","0.9570083114794832"
"85000000","84","84","84","0.9584719511473736","0.9584719511473736","0.9584719511473736"
"86000000","85","85","85","0.9565715653873736","0.9565715653873736","0.9565715653873736"
"87000000","86","86","86","0.9565559544988214","0.9565559544988214","0.9565559544988214"
"88000000","87","87","87","0.9577933055700081","0.9577933055700081","0.9577933055700081"
"89000000","88","88","88","0.9590250920335252","0.9590250920335252","0.9590250920335252"
"90000000","89","89","89","0.9581175042601747","0.9581175042601747","0.9581175042601747"
"91000000","90","90","90","0.9569401950984072","0.9569401950984072","0.9569401950984072"
"92000000","91","91","91","0.9572929653260598","0.9572929653260598","0.9572929653260598"
"93000000","92","92","92","0.9574617765101391","0.9574617765101391","0.9574617765101391"
"94000000","93","93","93","0.9573423673296949","0.9573423673296949","0.9573423673296949"
"95000000","94","94","94","0.9579421012045946","0.9579421012045946","0.9579421012045946"
"96000000","95","95","95","0.9571912967798469","0.9571912967798469","0.9571912967798469"
"97000000","96","96","96","0.9572705983471658","0.9572705983471658","0.9572705983471658"
"98000000","97","97","97","0.9588838078688425","0.9588838078688425","0.9588838078688425"
"99000000","98","98","98","0.9571342116058845","0.9571342116058845","0.9571342116058845"
"100000000","99","99","99","0.9571834094851107","0.9571834094851107","0.9571834094851107"
